"","Gender","Height","GPA","HS_GPA","Seat","WtFeel","Cheat"
"1","Female",64,2.6,2.63,"M","AboutRt","No"
"2","Male",69,2.7,3.72,"M","AboutRt","No"
"3","Female",66,3,3.44,"F","AboutRt","No"
"4","Female",63,3.11,2.73,"F","AboutRt","No"
"5","Male",72,3.4,2.35,"B","OverWt","No"
"6","Female",67,3.43,3.84,"M","AboutRt","No"
"7","Male",69,3.7,4,"F",NA,"No"
"8","Male",74,3.7,3.92,"B","AboutRt","No"
"9","Male",72,3.77,3.09,"M","UnderWt","No"
"10","Female",63,3.5,4,"F","AboutRt","No"
"11","Male",68.5,3,3.43,"F","OverWt","No"
"12","Male",70,3,3.62,"M","AboutRt","No"
"13","Male",71,3.5,3.49,"F","AboutRt","No"
"14","Male",68,3.25,3.09,"M","UnderWt","No"
"15","Female",60,2.83,3.22,"M","AboutRt","No"
"16","Male",71,2.62,2.52,"F","OverWt","No"
"17","Female",68,3.15,2.36,"M","AboutRt","No"
"18","Female",67,4.2,4,"M","AboutRt","Yes"
"19","Female",66,3.7,4,"F","OverWt","Yes"
"20","Male",69,4.38,4,"M","UnderWt","No"
"21","Male",69,3.65,3.54,"M","UnderWt","No"
"22","Male",68,3.6,4,"M","AboutRt","No"
"23","Female",67,3,3.08,"M","AboutRt","No"
"24","Female",65,2.25,2.49,"M","AboutRt","No"
"25","Female",61,4.03,3.6,"M","AboutRt","No"
"26","Female",61,2.54,3.5,"M","AboutRt","No"
"27","Female",64,2.6,3.22,"M","OverWt","No"
"28","Female",68,NA,NA,"M","AboutRt","Yes"
"29","Male",69,3,3.66,"B","UnderWt","No"
"30","Male",68,2.93,3.02,"M","OverWt","No"
"31","Male",72,3.2,2.84,"B","AboutRt","No"
"32","Female",68,NA,NA,"B","OverWt","No"
"33","Female",64,3,3.03,"M","AboutRt","No"
"34","Female",65.5,3.4,3.49,"F","AboutRt","No"
"35","Female",67,2.5,3.21,"M",NA,"No"
"36","Female",70,3,3.43,"M",NA,"No"
"37","Female",67,3.51,2.63,"M","AboutRt","No"
"38","Female",62.5,2.37,2.65,"M","AboutRt","No"
"39","Female",67,NA,NA,"M","AboutRt","No"
"40","Female",67,3.5,3.98,"M","AboutRt","No"
"41","Female",62,3,2.7,"B","AboutRt","Yes"
"42","Female",62,2.9,2.86,"M","OverWt","No"
"43","Female",64,3.9,3.91,"M","AboutRt","Yes"
"44","Female",66,2.65,3.63,"M","AboutRt","No"
"45","Female",65,3.5,3.11,"M","AboutRt","No"
"46","Female",67,3.3,3.34,"M","AboutRt","No"
"47","Male",64,3.4,3.52,"M","AboutRt","Yes"
"48","Male",76,3.6,3.55,"M","AboutRt","No"
"49","Male",68,3.21,3.47,"M","UnderWt","No"
"50","Male",68,3.1,3.27,"B","AboutRt","No"
