"","Gender","Alcohol","Height","Cheat"
"1","Female",15,64,0
"2","Male",14,69,0
"3","Female",NA,66,0
"4","Female",10,63,0
"5","Male",30,72,0
"6","Female",20,67,0
"7","Male",15,69,0
"8","Male",15,74,0
"9","Male",0,72,0
"10","Female",0,63,0
"11","Male",NA,68.5,0
"12","Male",0,70,0
"13","Male",0,71,0
"14","Male",0,68,0
"15","Female",0,60,0
"16","Male",0,71,0
"17","Female",NA,68,0
"18","Female",1,67,1
"19","Female",0,66,1
"20","Male",2,69,0
"21","Male",NA,69,0
"22","Male",0,68,0
"23","Female",1,67,0
"24","Female",NA,65,0
"25","Female",NA,61,0
"26","Female",2,61,0
"27","Female",0,64,0
"28","Female",1,68,1
"29","Male",10,69,0
"30","Male",NA,68,0
"31","Male",12,72,0
"32","Female",3,68,0
"33","Female",NA,64,0
"34","Female",1,65.5,0
"35","Female",0,67,0
"36","Female",0,70,0
"37","Female",8,67,0
"38","Female",0,62.5,0
"39","Female",0,67,0
"40","Female",0,67,0
"41","Female",0,62,1
"42","Female",0,62,0
"43","Female",0,64,1
"44","Female",1,66,0
"45","Female",3,65,0
"46","Female",3,67,0
"47","Male",5,64,1
"48","Male",0,76,0
"49","Male",0,68,0
"50","Male",0,68,0
"51","Male",1,70,0
"52","Male",2,62,0
"53","Male",3,69,0
"54","Male",12,67,0
"55","Male",12,76.5,0
"56","Female",2,64.5,0
"57","Female",0,70,0
"58","Female",0,63,0
"59","Male",0,72,0
"60","Male",8,64,0
"61","Male",3,70,0
"62","Male",9,68,0
"63","Female",9,65,0
"64","Female",0,60,0
"65","Female",2,69,0
"66","Male",NA,73,0
"67","Male",0,76.5,1
"68","Female",0,64,0
"69","Female",NA,62,0
"70","Male",0,72,0
"71","Female",0,63,1
"72","Female",5,64,0
"73","Male",0,64,0
"74","Male",10,71,0
"75","Male",3,73,0
"76","Female",0,62,0
"77","Male",0,72,0
"78","Male",NA,71,0
"79","Male",2,65,0
"80","Female",4,72,0
"81","Female",0,63,0
"82","Female",NA,67,0
"83","Male",NA,69,0
"84","Female",0,63,0
"85","Female",0,68,1
"86","Female",0,64,0
"87","Male",0,66,0
"88","Female",3,72,0
"89","Female",0,59.5,0
"90","Female",0,65,0
"91","Female",3,68,0
"92","Female",0,66,0
"93","Male",0,73,0
"94","Female",0,65,0
"95","Female",0,61,0
"96","Female",0,66,0
"97","Female",0,62.5,0
"98","Female",4,65,1
"99","Female",1,65,0
"100","Female",0,63,1
"101","Male",0,68,0
"102","Male",NA,67,0
"103","Male",3,70,0
"104","Male",4,70,0
"105","Male",22,65,0
"106","Female",2,70,0
"107","Male",NA,70,0
"108","Female",0,64,0
"109","Female",NA,63,0
"110","Female",10,68,0
"111","Female",10,63.5,0
"112","Female",NA,67.5,0
"113","Female",1,66,0
"114","Female",0,66,0
"115","Female",0,63,0
"116","Female",20,63,1
"117","Female",12,61,0
"118","Male",NA,72,0
"119","Male",0,70,0
"120","Male",0,71,0
"121","Male",0,71,0
"122","Male",12,67,0
"123","Male",NA,69,0
"124","Male",5,72,0
"125","Male",NA,74,0
"126","Female",0,63,1
"127","Female",0,61,0
"128","Female",0,66,0
"129","Female",1,63,0
"130","Female",3,66,0
"131","Female",1,67,0
"132","Female",0,64,0
"133","Female",0,66,0
"134","Female",18,68,0
"135","Female",NA,62,0
"136","Female",NA,66,0
"137","Female",3,63,0
"138","Female",0,66,0
"139","Female",0,66,0
"140","Female",20,69,0
"141","Male",25,74,0
"142","Male",0,70,0
"143","Female",2,68,0
"144","Male",10,68,0
"145","Male",14,71,0
"146","Female",15,64,0
"147","Female",20,69,0
"148","Male",20,72,0
"149","Male",15,63,0
"150","Female",3,62,0
"151","Female",1,65,0
"152","Female",0,61,0
"153","Female",0,67,0
"154","Male",2,69,0
"155","Female",0,64,1
"156","Female",0,62,0
"157","Female",7,64,0
"158","Female",0,66,0
"159","Female",NA,63,0
"160","Female",0,61,0
"161","Female",2,67,0
"162","Female",7,67,0
"163","Female",0,63.5,1
"164","Female",0,60,0
"165","Female",0,67,0
"166","Female",0,61,0
"167","Female",0,64,0
"168","Female",4,61,0
"169","Female",NA,68,0
"170","Female",10,63,0
"171","Female",5,67,0
"172","Female",0,63,0
"173","Female",0,60,0
"174","Male",0,72,0
"175","Male",0,67.75,0
"176","Male",12,70,0
"177","Male",14,67,0
"178","Male",10,67,0
"179","Female",15,64.5,0
"180","Female",10,60.5,0
"181","Male",36,74,0
"182","Female",3,69.5,0
"183","Female",5,66,0
"184","Female",1,65,0
"185","Female",5,65,0
"186","Male",3,73,0
"187","Female",0,63,0
"188","Female",4,67,0
"189","Male",NA,66,0
"190","Female",7,68,0
"191","Female",8,68,0
"192","Male",25,74,0
"193","Male",10,70,0
"194","Female",NA,65,1
"195","Male",0,72,0
"196","Female",0,63,0
"197","Male",2,70,0
"198","Male",0,75,0
"199","Male",9,74,0
"200","Female",0,62,0
"201","Female",NA,63,0
"202","Male",15,70,0
"203","Female",0,71,0
"204","Female",2,63,0
"205","Female",0,63,0
"206","Female",0,62,0
"207","Female",0,63,1
"208","Female",6,65,0
"209","Female",1,62,0
"210","Female",0,63,1
"211","Female",NA,65,0
"212","Female",0,63,0
"213","Female",0,64,0
"214","Female",10,68,0
"215","Female",0,64,0
"216","Female",0,61,0
"217","Female",0,62,0
"218","Female",0,66,1
"219","Male",10,74,0
"220","Male",15,72,0
"221","Male",30,72,0
"222","Female",6,68,0
"223","Female",0,65,0
"224","Female",1,69,0
"225","Female",10,65,0
"226","Female",3,64,0
"227","Male",12,73,0
"228","Female",NA,64,0
"229","Female",1,67,0
"230","Male",30,72,0
"231","Male",12,73,0
"232","Male",NA,74,0
"233","Female",0,68,0
"234","Female",1,73,1
"235","Male",6,68,0
"236","Male",6,63,0
