"","Course","Handed","Sex","Verbal","Age"
"1"," Social","left","male",470,18.83
"2"," Social","right","female",650,18.67
"3"," Social","right","male",580,20.08
"4"," Social","right","female",660,18.5
"5"," Social","right","female",790,24.25
"6"," Social","right","female",640,20.33
"7"," Social","left","female",660,19.17
"8"," Social","right","female",560,19.25
"9"," Social","right","female",560,18.92
"10"," Social","right","female",540,19.08
"11"," Social","right","female",620,18.42
"12"," Social","left","male",640,18.75
"13"," Social","right","female",550,18.25
"14"," Social","right","male",400,19.25
"15"," Social","right","male",430,21
"16"," Social","right","male",630,20.42
"17"," Social","right","female",630,18.5
"18"," Social","right","male",720,22.67
"19"," Social","right","female",NA,23
"20"," Social","right","female",660,18.83
"21"," Social","right","female",520,18.83
"22"," Social","right","female",640,18.5
"23"," Social","right","male",580,19.08
"24"," Social","left","female",730,18.08
"25"," Social","left","female",550,20.33
"26"," Social","right","male",600,18.33
"27"," Social","right","female",530,18.67
"28"," Social","right","female",650,18.58
"29"," Social","right","female",800,20.92
"30"," Social","right","female",730,18.5
"31"," Social","right","male",730,20.17
"32"," Social","right","female",610,19.67
"33"," Social","right","female",530,18.83
"34"," Social","right","female",550,18.42
"35"," Social","left","male",590,19.17
"36"," Social","right","female",650,NA
"37"," Social","right","female",NA,19.67
"38"," Social","right","male",690,19.17
"39"," Social","right","female",600,19
"40"," Social","right","female",NA,19.42
"41"," Social","right","female",NA,20.83
"42"," Social","right","female",510,18.83
"43"," Social","right","female",530,20.33
"44"," Social","right","female",700,18.83
"45"," Social","left","female",550,19.33
"46"," Social","right","female",660,18
"47"," Social","right","male",NA,26.33
"48"," Social","right","female",600,18.33
"49"," Social","right","female",680,20.08
"50"," Social","left","female",560,18.92
"51"," Social","right","male",530,20.75
"52"," Social","right","male",550,18.92
"53"," Social","right","female",600,19.67
"54"," Social","left","male",630,19.83
"55"," Social","right","female",540,18.75
"56"," Social","right","female",580,18.42
"57"," Social","left","female",710,18.83
"58"," Social","right","male",750,19.08
"59"," Social","right","female",600,20.33
"60"," Social","left","male",650,21.5
"61"," Social","right","female",680,18.83
"62"," Social","right","female",NA,20.25
"63"," Social","right","female",580,20.42
"64"," Social","right","male",480,20.92
"65"," Social","right","female",600,21.42
"66"," Social","left","female",600,19.92
"67"," Social","left","male",510,23
"68"," Social","right","female",610,21.33
"69"," Social","right","female",650,30.92
"70"," Social","right","female",520,20
"71"," Social","right","male",540,20.25
"72"," Social","right","female",650,20.17
"73","Natural","right","female",610,31.17
"74","Natural","right","female",540,19.17
"75","Natural","right","female",680,20.75
"76","Natural","right","male",580,19.92
"77","Natural","right","male",640,24.92
"78","Natural","right","female",400,20.08
"79","Natural","right","female",NA,19.83
"80","Natural","right","male",670,21.83
"81"," Social","right","female",640,18.33
"82","Natural","right","male",720,19.92
"83","Natural","right","female",NA,23.42
"84","Natural","right","male",770,19.75
"85","Natural","right","female",520,20.67
"86","Natural","right","male",630,18.83
"87","Natural","right","male",480,18.42
"88","Natural","right","male",NA,20.5
"89","Natural","right","male",660,18.5
"90","Natural","right","male",700,19.33
"91","Natural","right","male",490,21
"92","Natural","right","female",670,19.67
"93","Natural","right","male",660,20.25
"94","Natural","right","female",550,19.67
"95","Natural","right","female",650,19.5
"96","Natural","right","male",620,19.25
"97","Natural","right","female",610,18.75
"98","Natural","right","male",450,22.33
"99","Natural","right","female",530,18.92
"100","Natural","right","male",580,20.83
"101","Natural","left","female",630,18.92
"102","Natural","right","male",620,18.83
"103","Natural","left","male",600,19.92
"104","Natural","right","female",500,19.42
"105","Natural","right","female",620,20.5
"106","Natural","right","female",710,18.75
"107","Natural","right","female",580,19.58
"108","Natural","right","male",580,19.5
"109","Natural","right","female",590,18.92
"110","Natural","right","female",560,19.5
"111","Natural","right","female",460,18.17
"112","Natural","right","female",NA,19.08
"113","Natural","left","female",560,18.92
"114","Natural","right","male",590,18.75
"115","Natural","right","female",600,19.75
"116","Natural","right","female",560,22.58
"117","Natural","right","female",540,44.67
"118","Natural","right","female",710,NA
"119","Business","right","male",500,18.08
"120","Business","right","female",640,19.92
"121","Business","right","male",530,19.58
"122","Business","left","male",480,18.5
"123","Natural","right","male",540,20.08
"124","Natural","right","male",540,21.25
"125","Natural","right","female",740,19.75
"126","Natural","right","male",650,22.25
"127","Natural","right","male",NA,19.67
"128","Natural","right","female",550,20.67
"129","Natural","right","male",540,19.58
"130","Natural","right","male",490,20.83
"131","Natural","left","female",580,20.08
"132","Natural","right","male",650,20.17
"133","Natural","right","male",540,18.58
"134","Natural","right","female",520,22.08
"135","Natural","right","male",560,19.42
"136","Natural","right","male",NA,27.33
"137","Natural","right","female",670,19.5
"138","Natural","right","male",550,20.25
"139","Natural","right","male",600,19.5
"140","Business","right","male",520,19.42
"141","Business","left","male",590,19.17
"142"," Social","left","female",670,18.5
"143","Business","right","male",570,18.42
"144","Business","right","female",550,19.75
"145","Business","right","male",700,20.17
"146","Natural","right","female",700,18.25
"147"," Social","right","female",670,19.25
"148","Natural","right","male",720,18.92
"149","Natural","right","male",630,19.25
"150","Natural","right","male",760,21.42
"151","Natural","right","male",490,19.92
"152","Natural","right","male",580,22.08
"153","Business","right","female",NA,22
"154","Natural","left","male",580,22
"155","Natural","right","female",700,18.5
"156","Natural","right","male",530,22.5
"157","Natural","right","male",670,18.83
"158","Natural","right","female",720,17.92
"159","Natural","left","female",590,18.17
"160","Natural","right","female",570,18.58
"161","Natural","left","male",700,18.25
"162","Natural","right","female",750,18.58
"163","Natural","right","male",650,19.33
"164","Natural","left","female",610,19.58
"165","Natural","left","male",680,19.33
"166","Natural","right","female",580,18.58
"167","Natural","right","male",640,19.42
"168","Natural","left","female",610,19.58
"169","Natural","right","female",720,18.75
"170","Natural","right","female",600,18.58
"171","Natural","left","female",550,18.92
"172","Natural","right","female",670,19.08
"173","Natural","right","male",560,19.67
"174","Natural","right","male",520,19.58
"175","Natural","right","female",570,18.75
"176","Natural","right","female",560,20
"177","Natural","right","male",530,21.33
"178","Natural","right","male",600,18.5
"179","Natural","right","female",560,19.17
"180","Natural","left","female",560,20.25
"181"," Social","right","female",670,18.42
"182"," Social","right","female",500,21.08
"183"," Social","left","male",640,24.5
"184"," Social","right","male",550,19.5
"185"," Social","right","female",730,18.33
"186"," Social","right","male",660,21.08
"187"," Social","right","male",660,20.75
"188"," Social","right","female",720,21.67
"189"," Social","right","female",520,18.75
"190"," Social","right","male",490,19.83
"191"," Social","right","female",600,18.92
"192"," Social","right","male",760,21.5
"193"," Social","right","male",660,18.58
"194"," Social","right","female",570,18.67
"195"," Social","right","male",500,20.83
"196"," Social","left","male",700,19.83
"197"," Social","right","female",590,18.25
"198"," Social","right","male",580,20.5
"199"," Social","right","male",490,18.5
"200","Natural","left","female",590,21.5
"201","Natural","right","female",550,18.67
"202","Natural","right","male",540,19.08
"203"," Social","right","female",600,19.08
"204","Natural","right","female",580,19.25
"205","Natural","right","male",750,19.17
"206","Natural","left","male",540,18.75
"207","Natural","right","female",600,18.75
"208"," Social","right","female",560,18.83
"209","Natural","right","female",640,19.25
"210"," Social","right","female",600,19
"211","Natural","right","female",NA,32.08
"212"," Social","right","male",600,20.08
"213"," Social","right","male",520,21.17
"214"," Social","left","male",640,18.25
"215"," Social","right","female",640,19.5
"216","Natural","right","female",800,18.92
"217"," Social","right","female",570,19.08
"218"," Social","left","male",600,21.5
"219","Natural","right","male",650,20
"220","Natural","right","female",720,25.25
"221"," Social","right","male",540,19.75
"222","Natural","right","female",630,19
"223","Natural","right","female",680,18.58
"224"," Social","right","female",610,18.75
"225","Natural","right","male",690,18.42
"226"," Social","right","female",NA,21.58
"227","Natural","right","female",700,19.25
"228"," Social","right","female",620,18.92
"229","Natural","right","male",580,19
"230","Natural","left","female",520,18.67
"231"," Social","right","female",550,20.25
"232"," Social","right","female",550,19.08
"233"," Social","right","male",680,18.58
"234"," Social","right","female",NA,18.42
"235"," Social","left","female",NA,NA
"236"," Social","right","female",490,19
"237","Natural","right","male",740,24.5
"238","Natural","right","female",630,18.5
"239","Natural","right","female",550,19.5
