"","age","gender","comp"
"1",46,"Female",2
"2",76,"Female",1
"3",51,"Female",6
"4",62,"Female",6
"5",24,"Female",12
"6",20,"Female",16
"7",42,"Female",0
"8",40,"Female",6
"9",25,"Female",21
"10",28,"Female",11
"11",75,"Female",1
"12",30,"Female",18
"13",24,"Female",16
"14",32,"Female",21
"15",36,"Female",15
"16",27,"Female",20
"17",56,"Female",1
"18",59,"Female",7
"19",25,"Female",25
"20",58,"Female",1
"21",62,"Female",5
"22",59,"Female",1
"23",30,"Female",22
"24",38,"Female",15
"25",23,"Female",24
"26",88,"Female",1
"27",76,"Female",1
"28",21,"Female",20
"29",27,"Female",23
"30",31,"Female",18
"31",64,"Female",1
"32",57,"Female",8
"33",34,"Female",14
"34",75,"Female",1
"35",31,"Female",23
"36",41,"Female",12
"37",25,"Female",27
"38",32,"Female",28
"39",56,"Female",9
"40",21,"Female",21
"41",45,"Female",9
"42",89,"Female",0
"43",49,"Female",8
"44",32,"Female",24
"45",21,"Female",23
"46",25,"Female",26
"47",45,"Female",8
"48",35,"Female",15
"49",28,"Female",27
"50",31,"Female",15
"51",43,"Female",9
"52",29,"Female",16
"53",52,"Female",9
"54",53,"Female",11
"55",36,"Female",12
"56",55,"Female",4
"57",46,"Female",11
"58",52,"Female",4
"59",32,"Female",23
"60",89,"Female",0
"61",47,"Female",11
"62",18,"Female",19
"63",25,"Female",20
"64",53,"Female",5
"65",53,"Female",4
"66",57,"Male",10
"67",49,"Male",6
"68",26,"Male",14
"69",21,"Male",15
"70",49,"Male",8
"71",29,"Male",20
"72",39,"Male",10
"73",34,"Male",20
"74",23,"Male",15
"75",26,"Male",14
"76",61,"Male",0
"77",27,"Male",22
"78",41,"Male",9
"79",41,"Male",8
"80",55,"Male",11
"81",52,"Male",13
"82",51,"Male",9
"83",39,"Male",13
"84",61,"Male",4
"85",31,"Male",19
"86",37,"Male",10
"87",40,"Male",12
"88",47,"Male",6
"89",33,"Male",13
"90",28,"Male",13
"91",28,"Male",28
"92",53,"Male",4
"93",51,"Male",6
"94",37,"Male",16
"95",25,"Male",18
"96",19,"Male",16
"97",54,"Male",9
"98",42,"Male",8
"99",84,"Male",0
"100",74,"Male",3
"101",59,"Male",9
"102",39,"Male",10
"103",20,"Male",23
"104",65,"Male",0
"105",26,"Male",15
"106",65,"Male",1
"107",23,"Male",13
"108",42,"Male",9
"109",36,"Male",5
"110",29,"Male",23
"111",25,"Male",14
"112",46,"Male",4
"113",55,"Male",9
"114",30,"Male",21
"115",28,"Male",22
"116",44,"Male",8
"117",59,"Male",3
"118",56,"Male",12
"119",55,"Male",4
"120",41,"Male",16
"121",57,"Male",6
"122",19,"Male",19
"123",27,"Male",18
"124",50,"Male",2
"125",26,"Male",17
"126",34,"Male",10
"127",22,"Male",13
"128",33,"Male",17
"129",21,"Male",16
"130",28,"Male",27
"131",64,"Male",9
"132",29,"Male",18
"133",33,"Male",27
"134",56,"Male",7
"135",41,"Male",11
"136",27,"Male",18
"137",59,"Male",10
"138",34,"Male",11
"139",20,"Male",12
"140",73,"Male",1
"141",31,"Male",22
"142",31,"Male",24
"143",38,"Male",12
"144",25,"Male",19
"145",59,"Male",4
"146",64,"Male",1
"147",35,"Male",13
"148",34,"Male",20
"149",61,"Male",3
"150",25,"Male",14
"151",46,"Male",0
"152",18,"Male",16
"153",27,"Male",18
"154",84,"Male",0
"155",51,"Male",5
"156",31,"Male",20
"157",68,"Female",2
"158",28,"Female",14
"159",28,"Female",21
"160",32,"Female",18
"161",46,"Female",11
"162",48,"Female",16
"163",31,"Female",26
"164",22,"Female",20
"165",43,"Female",7
"166",31,"Female",20
"167",36,"Female",16
"168",26,"Female",19
"169",51,"Female",4
"170",79,"Female",1
"171",47,"Female",11
"172",49,"Female",11
"173",85,"Female",0
"174",20,"Female",12
"175",57,"Female",0
"176",25,"Female",16
"177",48,"Female",11
"178",48,"Female",4
"179",24,"Female",15
"180",37,"Female",6
"181",57,"Female",0
"182",58,"Female",4
"183",71,"Female",3
"184",35,"Female",8
"185",76,"Female",0
"186",20,"Female",27
"187",68,"Female",1
"188",47,"Female",3
"189",43,"Female",5
"190",26,"Female",22
"191",67,"Female",6
"192",27,"Female",16
"193",36,"Female",14
"194",28,"Female",14
"195",75,"Female",1
"196",34,"Female",24
"197",34,"Female",16
"198",45,"Female",10
"199",40,"Female",12
"200",48,"Female",10
"201",39,"Female",14
"202",44,"Female",9
"203",28,"Female",22
"204",32,"Female",26
"205",28,"Female",26
"206",59,"Female",2
"207",23,"Female",17
"208",43,"Female",11
"209",68,"Female",9
"210",49,"Female",6
"211",88,"Female",1
"212",34,"Female",12
"213",37,"Female",9
"214",42,"Female",11
"215",24,"Female",21
"216",67,"Female",8
"217",57,"Female",8
"218",27,"Female",22
"219",23,"Female",22
"220",50,"Female",8
"221",32,"Female",19
"222",57,"Female",9
"223",38,"Female",8
"224",78,"Female",0
"225",31,"Female",19
"226",23,"Female",20
"227",31,"Female",23
"228",27,"Female",19
"229",38,"Female",11
"230",42,"Male",12
"231",21,"Male",20
"232",30,"Male",19
"233",23,"Male",12
"234",28,"Male",15
"235",70,"Male",0
"236",55,"Male",4
"237",27,"Male",28
"238",43,"Male",9
"239",38,"Male",14
"240",69,"Male",2
"241",75,"Male",4
"242",60,"Male",7
"243",24,"Male",19
"244",39,"Male",13
"245",44,"Male",17
"246",57,"Male",0
"247",78,"Male",0
"248",64,"Male",10
"249",34,"Male",11
"250",76,"Male",3
"251",59,"Male",10
"252",41,"Male",16
"253",30,"Male",19
"254",55,"Male",7
"255",45,"Male",11
"256",43,"Male",7
"257",55,"Male",5
"258",34,"Male",17
"259",40,"Male",23
"260",61,"Male",2
"261",74,"Male",2
"262",30,"Male",29
"263",68,"Male",0
"264",23,"Male",19
"265",39,"Male",16
"266",44,"Male",10
"267",39,"Male",17
"268",19,"Male",13
"269",26,"Male",18
"270",40,"Male",6
"271",18,"Male",29
"272",29,"Male",17
"273",35,"Male",15
"274",28,"Male",19
"275",33,"Male",20
"276",25,"Male",20
"277",49,"Male",5
"278",49,"Male",5
"279",78,"Male",0
"280",42,"Male",9
"281",31,"Male",22
"282",45,"Male",10
"283",45,"Male",4
"284",54,"Male",0
"285",52,"Male",2
"286",53,"Male",13
"287",76,"Male",0
"288",36,"Male",14
"289",51,"Male",6
"290",56,"Male",10
"291",46,"Male",7
"292",45,"Male",10
"293",41,"Male",5
"294",42,"Male",4
"295",26,"Male",22
"296",56,"Male",1
"297",38,"Female",11
"298",20,"Female",14
"299",69,"Female",5
"300",21,"Female",23
"301",42,"Female",8
"302",21,"Female",22
"303",61,"Female",0
"304",80,"Female",0
"305",49,"Female",7
"306",34,"Female",15
"307",29,"Female",17
"308",29,"Female",14
"309",21,"Female",22
"310",36,"Female",19
"311",76,"Female",1
"312",28,"Female",21
"313",46,"Female",5
"314",54,"Female",5
"315",54,"Female",5
"316",35,"Female",16
"317",48,"Female",10
"318",36,"Female",13
"319",71,"Female",7
"320",75,"Female",0
"321",63,"Female",3
"322",54,"Female",7
"323",78,"Female",0
"324",70,"Female",0
"325",42,"Female",13
"326",60,"Female",11
"327",60,"Female",5
"328",58,"Female",0
"329",22,"Female",23
"330",62,"Female",6
"331",70,"Female",3
"332",45,"Female",10
"333",58,"Female",5
"334",29,"Female",20
"335",21,"Female",19
"336",34,"Female",19
"337",30,"Female",19
"338",52,"Female",5
"339",23,"Female",17
"340",32,"Female",22
"341",33,"Female",19
"342",28,"Female",15
"343",54,"Female",6
"344",61,"Female",0
"345",66,"Female",7
"346",33,"Female",17
"347",43,"Female",15
"348",43,"Female",8
"349",44,"Female",6
"350",38,"Female",16
"351",51,"Female",3
"352",56,"Female",0
"353",50,"Female",7
